Name,Id,Level,Hp,BaseExp,JobExp,Size,Race,Element,Custom
Phreeoni,1159,71,300000,6380000,9000000,Large,Brute,Neutral3,False
Piere,1160,32,696,25900,19800,Small,Insect,Earth1,False
Plankton,1161,40,1232,30000,25100,Small,Plant,Water3,False
Rafflesia,1162,86,5819,108600,97000,Small,Plant,Earth1,False
Raydric,1163,115,18408,224600,215000,Large,DemiHuman,Dark2,False
Requiem,1164,71,3089,73800,67800,Medium,DemiHuman,Dark1,False
Sandman,1165,61,2887,59200,50800,Medium,Formless,Earth3,False
Savage,1166,59,2301,53500,45700,Large,Brute,Earth2,False
Savage Babe,1167,14,180,17200,10500,Small,Brute,Earth1,False
Skeleton Worker,1169,44,1240,37800,27600,Medium,Undead,Undead1,False
Sohee,1170,64,2875,60000,54400,Medium,Demon,Water1,False
Stainer,1174,21,365,18800,14000,Small,Insect,Wind1,False
Tarou,1175,22,420,19200,14400,Small,Brute,Dark1,False
Vitata,1176,35,756,27800,21600,Small,Insect,Earth1,False
Zenorc,1177,54,1816,45600,40300,Medium,DemiHuman,Dark1,False
Zerom,1178,70,2687,67700,62100,Medium,DemiHuman,Fire1,False
Whisper,1179,46,1109,32500,32800,Small,Demon,Ghost3,False
Nine Tail,1180,72,2783,75200,69200,Medium,Brute,Fire3,False
Thief Mushroom,1182,1,15,0,0,Small,Plant,Earth1,False
Chonchon,1183,5,63,1800,1300,Small,Insect,Wind1,False
Fabre,1184,1,30,100,0,Small,Insect,Earth1,False
Whisper,1185,34,1796,24100,36800,Small,Undead,Ghost1,False
Giant Whisper,1186,66,2570,33100,35500,Small,Demon,Ghost2,False
Bongun,1188,59,2510,56100,43200,Medium,Undead,Undead1,False
Orc Archer,1189,78,4835,88000,77900,Medium,DemiHuman,Earth1,False
Orc Lord,1190,55,552000,7812000,6138000,Large,DemiHuman,Earth4,False
Mimic,1191,56,1939,47700,42400,Medium,Formless,Neutral3,False
Wraith,1192,77,5168,90600,72300,Large,Undead,Undead4,False
Alarm,1193,88,5562,106900,100400,Medium,Formless,Neutral3,False
Arclouze,1194,107,10020,193700,175900,Medium,Insect,Earth2,False
Rideword,1195,74,3222,78000,72000,Small,Formless,Neutral3,False
Skeleton Prisoner,1196,91,9194,134200,108800,Medium,Undead,Undead3,False
Zombie Prisoner,1197,89,8045,119400,96700,Medium,Undead,Undead3,False
Dark Priest,1198,98,12090,148300,121100,Medium,Demon,Undead4,False
Punk,1199,82,3869,97000,90500,Small,Plant,Wind1,False
Zealotus,1200,105,61350,466600,426100,Medium,DemiHuman,Neutral3,False
Rybio,1201,98,8700,134900,127800,Large,Demon,Neutral2,False
Phendark,1202,102,11000,156500,148700,Large,DemiHuman,Neutral2,False
Mysteltainn,1203,130,70000,514700,274200,Large,Formless,Dark4,False
Ogretooth,1204,114,59000,347400,275400,Medium,Formless,Dark3,False
Executioner,1205,101,40200,291600,200400,Large,Formless,Dark2,False
Anolian,1206,109,15547,188700,180100,Medium,Fish,Water2,False
Sting,1207,104,10143,168500,152700,Medium,Formless,Earth3,False
Wanderer,1208,120,19307,265200,254400,Medium,Demon,Wind1,False
Cramp,1209,82,3898,97000,90500,Small,Brute,Poison2,False
Brilight,1211,71,2772,73800,67800,Small,Insect,Fire1,False
Iron Fist,1212,47,4221,64600,68400,Medium,Insect,Neutral3,False
High Orc,1213,81,4193,95400,88900,Large,DemiHuman,Fire2,False
Choco,1214,48,1080,37900,32800,Small,Brute,Fire1,False
Stem Worm,1215,84,4530,100200,93700,Medium,Plant,Wind1,False
Penomena,1216,85,4589,101800,95300,Medium,Fish,Poison1,False
Abysmal Knight,1219,122,23297,307100,294800,Large,DemiHuman,Dark4,False
Desert Wolf,1220,103,9447,20900,14300,Medium,Brute,Fire1,False
Savage,1221,26,2092,16000,10100,Large,Brute,Earth2,False
Fabre,1229,2,63,100,100,Small,Insect,Earth1,False
Pupa,1230,2,427,100,200,Small,Insect,Earth1,False
Creamy,1231,16,595,4300,2900,Small,Insect,Wind1,False
Peco Peco Egg,1232,3,420,200,200,Small,Formless,Neutral3,False
Yoyo,1234,19,879,6100,3800,Small,Brute,Earth1,False
Smoking Orc,1235,24,1400,11700,7200,Medium,DemiHuman,Earth1,False
Ant Egg,1236,4,420,200,200,Small,Formless,Neutral3,False
Andre,1237,17,688,4900,3200,Small,Insect,Earth1,False
Piere,1238,18,733,5500,3500,Small,Insect,Earth1,False
Deniro,1239,19,760,6100,3800,Small,Insect,Earth1,False
Picky,1240,3,80,200,100,Small,Brute,Fire1,False
Picky,1241,4,83,200,200,Small,Brute,Fire1,False
Marin,1242,37,987,27900,23000,Medium,Plant,Water2,False
Sasquatch,1243,72,3163,75200,69200,Large,Brute,Neutral3,False
Christmas Jakk,1244,63,1901,52600,30900,Medium,Formless,Fire2,False
Christmas Goblin,1245,48,1107,12700,7700,Medium,DemiHuman,Wind1,False
Christmas Cookie,1246,37,733,27900,23000,Small,DemiHuman,Holy2,False
Antonio,1247,10,10,100,100,Medium,DemiHuman,Holy3,False
Cruiser,1248,41,919,32000,26900,Medium,Formless,Neutral3,False
Myst Case,1249,39,879,29300,24400,Medium,Formless,Neutral3,False
Chepet,1250,42,4950,65700,92700,Medium,DemiHuman,Fire1,False
Stormy Knight,1251,92,630500,24828000,15110000,Large,Formless,Wind4,False
Hatii,1252,98,1275500,45532800,30690000,Large,Brute,Water4,False
Gargoyle,1253,100,8772,138700,131600,Medium,Demon,Wind3,False
Raggler,1254,48,1148,37900,32800,Small,Brute,Wind1,False
Nereid,1255,98,9550,141600,127800,Small,Brute,Earth1,False
Pest,1256,89,5747,108600,102100,Small,Brute,Dark2,False
Injustice,1257,95,7952,129200,122100,Medium,Undead,Dark2,False
Goblin Archer,1258,55,1575,46600,41300,Small,DemiHuman,Poison1,False
Gryphon,1259,105,60720,564600,319400,Large,Brute,Wind4,False
Dark Frame,1260,76,3520,80900,74900,Medium,Demon,Dark3,False
Wild Rose,1261,70,2682,67700,62100,Small,Brute,Wind1,False
Mutant Dragonoid,1262,65,50706,191300,641500,Large,Dragon,Fire2,False
Wind Ghost,1263,80,4008,86900,80900,Medium,Demon,Wind3,False
Merman,1264,60,2940,52100,46800,Medium,DemiHuman,Water3,False
Cookie,1265,35,666,26500,21600,Small,DemiHuman,Neutral3,False
Aster,1266,50,1509,41600,34600,Small,Fish,Earth1,False
Carat,1267,103,9222,158500,150700,Medium,Demon,Wind2,False
Bloody Knight,1268,116,68500,477600,429600,Large,Formless,Dark4,False
Clock,1269,81,5556,100100,88900,Medium,Formless,Earth2,False
Clock Tower Manager,1270,90,6400,110300,103800,Large,Formless,Neutral4,False
Alligator,1271,57,2430,48800,43500,Medium,Brute,Water1,False
Dark Lord,1272,96,1190900,42854400,27900000,Large,Demon,Undead4,False
Orc Lady,1273,45,1520,36900,30100,Medium,DemiHuman,Earth2,False
Megalith,1274,65,2451,61200,55600,Large,Formless,Neutral4,False
Alice,1275,100,9230,138700,131600,Medium,DemiHuman,Neutral3,False
Raydric Archer,1276,82,4437,97000,90500,Medium,Demon,Dark2,False
Greatest General,1277,55,1575,46600,41300,Medium,Formless,Fire2,False
Stalactic Golem,1278,68,2590,65100,59500,Large,Formless,Neutral4,False
Tri Joint,1279,66,2530,65600,56900,Small,Insect,Earth1,False
Goblin Steamrider,1280,66,2241,62500,56900,Medium,DemiHuman,Wind2,False
Sage Worm,1281,70,2872,67700,62100,Small,Brute,Neutral3,False
Kobold Archer,1282,108,11053,186600,178000,Small,DemiHuman,Fire1,False
Chimera,1283,70,26406,271300,234900,Large,Brute,Fire3,False
Archer Guardian,1285,74,28634,100,100,Large,DemiHuman,Neutral4,False
Knight Guardian,1286,86,30214,100,100,Large,DemiHuman,Neutral4,False
Soldier Guardian,1287,56,15670,100,100,Large,DemiHuman,Neutral1,False
Emperium,1288,90,100,0,0,Small,Angel,Holy1,False
Maya Purple,1289,81,77670,644200,325800,Large,Insect,Earth4,False
Skeleton General,1290,139,180130,1061400,1335100,Medium,Undead,Undead1,False
Wraith Dead,1291,121,25990,335100,277200,Large,Undead,Undead4,False
Mini Demon,1292,117,19402,258300,247500,Small,Demon,Dark1,False
Creamy Fear,1293,117,25084,258300,247500,Small,Insect,Wind1,False
Killer Mantis,1294,141,180141,1130300,1359700,Medium,Insect,Earth1,False
Owl Baron,1295,120,21000,265200,254400,Large,Demon,Neutral3,False
Kobold Leader,1296,112,13520,171800,157100,Medium,DemiHuman,Wind2,False
Ancient Mummy,1297,114,27157,244600,201700,Medium,Undead,Undead2,False
Zombie Master,1298,119,25510,289100,239000,Medium,Undead,Undead1,False
Goblin Leader,1299,55,21692,233600,250300,Medium,DemiHuman,Wind1,False
Caterpillar,1300,121,25656,319900,292400,Small,Insect,Earth1,False
Am Mut,1301,141,181487,1001400,1334800,Small,Demon,Dark1,False
Dark Illusion,1302,96,46255,495400,454900,Large,Demon,Undead4,False
Giant Hornet,1303,120,26521,265200,254400,Small,Insect,Wind1,False
Giant Spider,1304,117,25001,258300,247500,Large,Insect,Poison1,False
Ancient Worm,1305,121,24005,304700,292400,Large,Insect,Poison1,False
Leib Olmai,1306,118,24001,273600,249800,Large,Brute,Earth1,False
Cat o' Nine Tails,1307,79,23600,207400,289600,Medium,Demon,Fire3,False
Panzer Goblin,1308,52,1471,23400,25200,Medium,DemiHuman,Wind2,False
Gajomart,1309,140,185098,1181000,1425700,Small,Formless,Fire4,False
Majoruros,1310,107,11801,184500,175900,Large,Brute,Fire2,False
Gullinbursti,1311,120,25098,278400,254400,Large,Brute,Earth2,False
Turtle General,1312,110,1442000,55987200,41164200,Large,Brute,Earth2,False
Mobster,1313,58,2253,49900,44600,Medium,DemiHuman,Neutral1,False
Permeter,1314,90,6575,110300,103800,Medium,Brute,Neutral2,False
Assaulter,1315,100,8977,138700,131600,Medium,DemiHuman,Wind2,False
Solider,1316,92,8768,129900,116700,Medium,Brute,Earth2,False
Seal,1317,47,1371,37000,31900,Medium,Brute,Water1,False
Heater,1318,98,8180,134900,127800,Medium,Brute,Fire2,False
Freezer,1319,94,9990,127400,120300,Medium,Brute,Water2,False
Owl Duke,1320,92,7381,123800,116700,Large,Demon,Neutral3,False
Dragon Tail,1321,86,4680,103500,97000,Medium,Insect,Wind2,False
Spring Rabbit,1322,88,6684,112200,100400,Medium,Brute,Earth2,False
Sea Otter,1323,48,1820,37900,32800,Medium,Brute,Water3,False
Treasure Chest,1324,99,0,0,0,Small,Formless,Neutral1,False
Treasure Chest,1325,99,0,0,0,Small,Formless,Neutral1,False
Treasure Chest,1326,99,0,0,0,Small,Formless,Neutral1,False
Treasure Chest,1327,99,0,0,0,Small,Formless,Neutral1,False
Treasure Chest,1328,99,0,0,0,Small,Formless,Neutral1,False
Treasure Chest,1329,99,0,0,0,Small,Formless,Neutral1,False
Treasure Chest,1330,99,0,0,0,Small,Formless,Neutral1,False
Treasure Chest,1331,99,0,0,0,Small,Formless,Neutral1,False
Treasure Chest,1332,99,0,0,0,Small,Formless,Neutral1,False
Treasure Chest,1333,99,0,0,0,Small,Formless,Neutral1,False
Treasure Chest,1334,99,0,0,0,Small,Formless,Neutral1,False
Treasure Chest,1335,99,0,0,0,Small,Formless,Neutral1,False
Treasure Chest,1336,99,0,0,0,Small,Formless,Neutral1,False
Treasure Chest,1337,99,0,0,0,Small,Formless,Neutral1,False
Treasure Chest,1338,99,0,0,0,Small,Formless,Neutral1,False
Treasure Chest,1339,99,0,0,0,Small,Formless,Neutral1,False
Treasure Chest,1340,99,0,0,0,Small,Formless,Neutral1,False
Treasure Chest,1341,99,0,0,0,Small,Formless,Neutral1,False
Treasure Chest,1342,99,0,0,0,Small,Formless,Neutral1,False
Treasure Chest,1343,99,0,0,0,Small,Formless,Neutral1,False
Treasure Chest,1344,99,0,0,0,Small,Formless,Neutral1,False
Treasure Chest,1345,99,0,0,0,Small,Formless,Neutral1,False
Treasure Chest,1346,99,0,0,0,Small,Formless,Neutral1,False
Treasure Chest,1347,99,0,0,0,Small,Formless,Neutral1,False
Treasure Chest,1348,99,0,0,0,Small,Formless,Neutral1,False
Treasure Chest,1349,99,0,0,0,Small,Formless,Neutral1,False
Treasure Chest,1350,99,0,0,0,Small,Formless,Neutral1,False
Treasure Chest,1351,99,0,0,0,Small,Formless,Neutral1,False
Treasure Chest,1352,99,0,0,0,Small,Formless,Neutral1,False
Treasure Chest,1353,99,0,0,0,Small,Formless,Neutral1,False
Treasure Chest,1354,99,0,0,0,Small,Formless,Neutral1,False
Treasure Chest,1355,99,0,0,0,Small,Formless,Neutral1,False
Treasure Chest,1356,99,0,0,0,Small,Formless,Neutral1,False
Treasure Chest,1357,99,0,0,0,Small,Formless,Neutral1,False
Treasure Chest,1358,99,0,0,0,Small,Formless,Neutral1,False
Treasure Chest,1359,99,0,0,0,Small,Formless,Neutral1,False
Treasure Chest,1360,99,0,0,0,Small,Formless,Neutral1,False
Treasure Chest,1361,99,0,0,0,Small,Formless,Neutral1,False
Treasure Chest,1362,99,0,0,0,Small,Formless,Neutral1,False
Treasure Chest,1363,99,0,0,0,Small,Formless,Neutral1,False
Assaulter,1364,98,7798,0,0,Medium,Demon,Wind2,False
Apocalypse,1365,121,22090,304700,292400,Large,Formless,Neutral3,False
Lava Golem,1366,103,8452,158500,150700,Large,Formless,Fire4,False
Blazer,1367,101,8121,154500,146700,Medium,Demon,Fire2,False
Geographer,1368,73,3866,80400,70600,Medium,Plant,Earth3,False
Grand Peco,1369,75,3150,79400,73400,Large,Brute,Fire2,False
Succubus,1370,119,24960,262900,252100,Medium,Demon,Dark3,False
False Angel,1371,105,10988,162500,154700,Small,Angel,Holy3,False
Goat,1372,80,3980,86900,80900,Medium,Brute,Fire3,False
Lord of the Dead,1373,94,603883,26227200,17262600,Large,Demon,Dark3,False
Incubus,1374,120,28000,265200,254400,Medium,Demon,Dark3,False
The Paper,1375,97,8500,133000,125900,Medium,Formless,Neutral3,False
Harpy,1376,83,4423,98600,92100,Medium,Demon,Wind3,False
Elder,1377,92,7341,123800,116700,Large,DemiHuman,Neutral4,False
Demon Pungus,1378,91,6466,122000,114900,Small,Demon,Poison3,False
Nightmare Terror,1379,107,13289,184500,175900,Large,Demon,Dark3,False
Driller,1380,65,2719,64200,55600,Medium,Brute,Earth1,False
Grizzly,1381,66,2241,62500,56900,Large,Brute,Fire3,False
Diabolic,1382,104,10572,160500,152700,Small,Demon,Dark2,False
Explosion,1383,100,7813,138700,131600,Small,Brute,Fire3,False
Deleter,1384,105,10000,162500,154700,Medium,Dragon,Fire2,False
Deleter,1385,105,10000,162500,154700,Medium,Dragon,Fire2,False
Sleeper,1386,81,5160,100100,88900,Medium,Formless,Earth2,False
Gig,1387,100,8721,138700,131600,Small,Brute,Fire2,False
Arc Angeling,1388,84,25100,178900,145500,Medium,Angel,Holy3,False
Dracula,1389,75,350000,17186400,12276000,Large,Demon,Dark4,False
Violy,1390,118,20557,260600,249800,Medium,DemiHuman,Neutral2,False
Galapago,1391,45,1221,36900,30100,Small,Brute,Earth1,False
Rotar Zairo,1392,48,1088,37900,32800,Large,Formless,Wind2,False
Mummy,1393,55,2155,0,0,Medium,Undead,Undead2,False
Zombie,1394,17,234,0,0,Medium,Undead,Undead1,False
Wind Crystal,1395,1,15,0,0,Small,Formless,Neutral1,False
Earth Crystal,1396,1,15,0,0,Small,Formless,Neutral1,False
Fire Crystal,1397,1,15,0,0,Small,Formless,Neutral1,False
Water Crystal,1398,1,15,0,0,Small,Formless,Neutral1,False
Baphomet,1399,68,1264000,4122500,1255300,Large,Demon,Dark3,False
Karakasa,1400,72,3092,75200,69200,Medium,Formless,Neutral3,False
Shinobi,1401,95,8000,129200,122100,Medium,DemiHuman,Dark3,False
Poisonous Toad,1402,87,4876,105200,98700,Medium,Brute,Poison2,False
Firelock Soldier,1403,88,7524,117500,95100,Medium,Undead,Undead2,False
Miyabi Doll,1404,85,5188,101800,95300,Medium,Demon,Dark1,False
Tengu,1405,98,10196,141600,127800,Large,Demon,Earth2,False
Kapha,1406,83,5470,98600,92100,Medium,Fish,Water1,False
Bloody Butterfly,1408,94,7030,127400,120300,Medium,Insect,Wind2,False
Dumpling Child,1409,60,2098,52100,46800,Small,DemiHuman,Neutral1,False
Enchanted Peach Tree,1410,92,8777,129900,116700,Medium,Plant,Earth2,False
Taoist Hermit,1412,96,8266,131100,124000,Large,Formless,Neutral2,False
Hermit Plant,1413,90,6052,110300,103800,Small,Plant,Fire2,False
Baby Leopard,1415,68,2590,58600,62700,Small,Brute,Ghost1,False
Evil Nymph,1416,97,8491,133000,125900,Medium,Demon,Dark3,False
Zipper Bear,1417,90,6620,110300,103800,Medium,Brute,Dark1,False
Evil Snake Lord,1418,105,1101000,43200000,34650000,Large,Brute,Ghost3,False
Familiar,1419,24,427,0,0,Small,Brute,Dark1,False
Archer Skeleton,1420,50,1646,0,0,Medium,Undead,Undead1,False
Isis,1421,59,2092,0,0,Large,Demon,Dark1,False
Hunter Fly,1422,63,2050,0,0,Small,Insect,Wind2,False
Ghoul,1423,61,2614,0,0,Medium,Undead,Undead2,False
Side Winder,1424,70,2736,0,0,Medium,Brute,Poison1,False
Obeaune,1425,53,2158,0,0,Medium,Fish,Water2,False
Marc,1426,56,2522,0,0,Medium,Fish,Water2,False
Nightmare,1427,69,2872,0,0,Large,Demon,Ghost3,False
Poison Spore,1428,26,456,0,0,Medium,Plant,Poison1,False
Argiope,1429,75,3105,0,0,Large,Insect,Poison1,False
Argos,1430,47,1005,0,0,Large,Insect,Poison1,False
